AMBLER_CLASS;NAME;ALTERNATIVE_NAME;SUBFAMILY;blaNAME;GENPEPT_ID;GENBANK_ID;PUBMED_ID;SEQUENCE_LINK;NUMBER_PDB_STRUCTURES;MUTANTS;PHENOTYPE;FUNCTIONAL_INFORMATION;NATURAL_OR_AQUIRED
B1;IMP-2;NULL;NULL;blaIMP-2;CAB94707;AJ243491;10770756 (DOI);view;1;NULL;3a;carbapenemase;A
B1;IMP-3;MET-1;NULL;blaIMP-3;BAA77393;AB010417;10898670 (DOI) 9627953 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-4;NULL;NULL;blaIMP-4;AAK13078;AF244145;11181348 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-5;NULL;NULL;blaIMP-5;AAK27847;AF290912;12393197 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-6;NULL;NULL;blaIMP-6;BAM62797;AB753460;11302793 (DOI);view;3;NULL;3a;carbapenemase;A
B1;IMP-7;NULL;NULL;blaIMP-7;AAK12087;AF318077;11751148 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-8;IMP-47;NULL;blaIMP-8;ABG82195;DQ845788;11451699 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-9;NULL;NULL;blaIMP-9;ACM66938;FJ655384;16377710 (DOI) 23716048 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-10;NULL;NULL;blaIMP-10;BAB72071;AB074435;12019129 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-11;NULL;NULL;blaIMP-11;BAB72072;AB074436;21862476 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-12;NULL;NULL;blaIMP-12;CAD12765;AJ420864;12709317 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-13;NULL;NULL;blaIMP-13;KDF30439;JMUP01000026;12951335 (DOI);view;6;NULL;3a;carbapenemase;A
B1;IMP-14;NULL;NULL;blaIMP-14;AHY18660;KJ406505;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;IMP-15;NULL;NULL;blaIMP-15;AAT49070;AY553333;18362195 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-16;NULL;NULL;blaIMP-16;CAE48334;AJ584652;15561846 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-17;NULL;NULL;blaIMP-17;CAD55935;AJ512502;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;IMP-18;NULL;NULL;blaIMP-18;AAV49162;AY780674;16723605 (DOI);view;1;NULL;3a;carbapenemase;A
B1;IMP-19;NULL;NULL;blaIMP-19;BAD89183;AB201263;17938180 (DOI) 21862476 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-20;NULL;NULL;blaIMP-20;BAD81061;AB196988;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;IMP-21;NULL;NULL;blaIMP-21;BAD89802;AB204557;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;IMP-22;NULL;NULL;blaIMP-22;BAM62879;AB754495;19270313 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-23;NULL;NULL;blaIMP-23;ABD85195;DQ417222;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;IMP-24;NULL;NULL;blaIMP-24;ABM68358;EF192154;18804966 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-25;NULL;NULL;blaIMP-25;ACB41775;EU541448;23006757 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-26;NULL;NULL;blaIMP-26;ABC24668;DQ307573;20463166 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-27;NULL;NULL;blaIMP-27;AEH41427;JF894248;27503648 (DOI);view;1;NULL;3a;carbapenemase;A
B1;IMP-28;NULL;NULL;blaIMP-28;ADU33210;HQ263342;22668859 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-29;NULL;NULL;blaIMP-29;ADT63777;HQ438058;22290960 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-30;NULL;NULL;blaIMP-30;AJQ17574;KM589497;23836186 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-31;NULL;NULL;blaIMP-31;AGS82587;KF148593;25835992 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-32;NULL;NULL;blaIMP-32;AFR33816;JQ002629;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;IMP-33;NULL;NULL;blaIMP-33;AEU17778;JN848782;24041889 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-34;NULL;NULL;blaIMP-34;AKA21047;KM877517;23541689 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-35;NULL;NULL;blaIMP-35;AFO59566;JF816544;23341129 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-36;NULL;NULL;blaIMP-36;Assigned;NULL;NULL;NULL;NULL;NULL;NULL;carbapenemase;NULL
B1;IMP-37;NULL;NULL;blaIMP-37;AFP97028;JX131372;23089049 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-38;NULL;NULL;blaIMP-38;AEN75249;HQ875573;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;IMP-39;NULL;NULL;blaIMP-39;QBC73593;MK507818;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;IMP-40;NULL;NULL;blaIMP-40;BAM62794;AB753457;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;IMP-41;NULL;NULL;blaIMP-41;BAM62795;AB753458;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;IMP-42;NULL;NULL;blaIMP-42;BAM62793;AB753456;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;IMP-43;NULL;NULL;blaIMP-43;BAM98935;AB777500;23836174 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-44;NULL;NULL;blaIMP-44;BAM98942;AB777501;23836174 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-45;NULL;NULL;blaIMP-45;ABY60377;EU352796;24777897 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-46;NULL;NULL;blaIMP-46;QBC73594;MK507819;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-48;NULL;NULL;blaIMP-48;AIT76110;KM087857;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;IMP-49;NULL;NULL;blaIMP-49;AKO63210;KP681694;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;IMP-50;NULL;NULL;blaIMP-50;MDX7491165;JAXAEM010000010;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;IMP-51;NULL;NULL;blaIMP-51;BAQ56016;LC031883;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;IMP-52;NULL;NULL;blaIMP-52;BAR80870;LC055762;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;IMP-53;NULL;NULL;blaIMP-53;ADI49230;HM106457;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;IMP-54;NULL;NULL;blaIMP-54;ALN95135;KU052795;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;IMP-55;NULL;NULL;blaIMP-55;ALO79334;KT935306;27430533 (DOI) 28336429 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-56;NULL;NULL;blaIMP-56;ALT53802;KU315553;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;IMP-57;NULL;NULL;blaIMP-57;Assigned;NULL;NULL;NULL;NULL;NULL;NULL;carbapenemase;A
B1;IMP-58;NULL;NULL;blaIMP-58;AMJ16609;KU647281;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;IMP-59;NULL;NULL;blaIMP-59;ANC95010;KX196782;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;IMP-60;NULL;NULL;blaIMP-60;BAV14383;LC159227;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;IMP-61;NULL;NULL;blaIMP-61;ANQ38580;KX462700;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;IMP-62;NULL;NULL;blaIMP-62;AOE46845;KX753224;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;IMP-63;NULL;NULL;blaIMP-63;AOR06148;KX821663;30886610 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;IMP-64;NULL;NULL;blaIMP-64;AOV81905;KX949735;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;IMP-65;NULL;NULL;blaIMP-65;APM84539;KY315991;31270990 (DOI);view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-66;NULL;NULL;blaIMP-66;BAV78863;LC190726;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-67;NULL;NULL;blaIMP-67;ARX71247;MF281100;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-68;NULL;NULL;blaIMP-68;ASU31903;MF669572;31666316 (DOI);view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-69;NULL;NULL;blaIMP-69;ATJ25943;MF678349;32176782 (DOI);view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-70;NULL;NULL;blaIMP-70;AUM56801;MG748725;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-71;NULL;NULL;blaIMP-71;AUS29441;MG818167;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-72;NULL;NULL;blaIMP-72;Assigned;NULL;NULL;NULL;NULL;NULL;NULL;carbapenemase;A
B1;IMP-73;NULL;NULL;blaIMP-73;AVK78200;MH021848;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-74;NULL;NULL;blaIMP-74;AWI33303;MH243349;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-75;NULL;NULL;blaIMP-75;AWI33304;MH243350;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-76;NULL;NULL;blaIMP-76;BBE43066;LC389062;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-77;NULL;NULL;blaIMP-77;BBE43067;LC389063;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-78;NULL;NULL;blaIMP-78;BBE43068;LC389064;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-79;NULL;NULL;blaIMP-79;AXH79883;MG873561;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-80;NULL;NULL;blaIMP-80;BBG06478;LC420635;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-81;NULL;NULL;blaIMP-81;QDC28548;MN017299;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-82;NULL;NULL;blaIMP-82;QDC28549;MN057782;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-83;NULL;NULL;blaIMP-83;QDM39440;MN104595;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-84;NULL;NULL;blaIMP-84;QDY98369;MN219692;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-85;NULL;NULL;blaIMP-85;QEV89919;MN510335;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-86;NULL;NULL;blaIMP-86;QIZ64888;MT241520;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-87;NULL;NULL;blaIMP-87;QIZ64889;MT241521;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-88;NULL;NULL;blaIMP-88;BCH68486;LC558310;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-89;NULL;NULL;blaIMP-89;QIZ22804;MN961670;37092959 (DOI);view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-90;NULL;NULL;blaIMP-90;QTG68658;MW811441;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-91;NULL;NULL;blaIMP-91;QMX80023;CP059995;37092959 (DOI);view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-92;NULL;NULL;blaIMP-92;UJT87582;OM280335;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-93;NULL;NULL;blaIMP-93;MCF1770911;JAKEVW010000034;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-94;NULL;NULL;blaIMP-94;UKC75980;OM460740;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-95;NULL;NULL;blaIMP-95;UNN26052;OM933716;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-96;NULL;NULL;blaIMP-96;MBC4797580;JACNSP010000038;37092959 (DOI);view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-97;NULL;NULL;blaIMP-97;BDR24828;LC727551;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-98;NULL;NULL;blaIMP-98;BDU49371;LC740578;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-99;NULL;NULL;blaIMP-99;WEG44269;OQ533023;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-100;NULL;NULL;blaIMP-100;CAI9794927;CATODC010000003;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-101;NULL;NULL;blaIMP-101;WIF03690;OR063824;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;IMP-102;NULL;NULL;blaIMP-102;WLF01979;OR367336;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-1;NULL;NULL;blaNDM-1;AHM26723;KJ018857;19770275 (DOI);view;134;2;3a;carbapenemase;A
B1;NDM-2;NULL;NULL;blaNDM-2;AEA41876;JF703135;21427107 (DOI) 32014252 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;NDM-3;NULL;NULL;blaNDM-3;AFK80349;JQ734687;23330550 (DOI);view;2;NULL;3a;carbapenemase;A
B1;NDM-4;NULL;NULL;blaNDM-4;AFB82585;JQ348841;22252797 (DOI);view;6;NULL;3a;carbapenemase;A
B1;NDM-5;NULL;NULL;blaNDM-5;ANE23847;KX062216;21930874 (DOI);view;2;NULL;3a;carbapenemase;A
B1;NDM-6;NULL;NULL;blaNDM-6;AEX08599;JN967644;23731823 (DOI);view;2;NULL;3a;carbapenemase;A
B1;NDM-7;NULL;NULL;blaNDM-7;AKN35289;KP826705;23557929 (DOI);view;1;NULL;3a;carbapenemase;A
B1;NDM-8;NULL;NULL;blaNDM-8;AJE61442;KP265938;23459485 (DOI);view;1;NULL;3a;carbapenemase;A
B1;NDM-9;NULL;NULL;blaNDM-9;AGU91756;KC999080;24913967 (DOI);view;1;NULL;3a;carbapenemase;A
B1;NDM-10;NULL;NULL;blaNDM-10;AGT37351;KF361506;26776144 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;NDM-11;NULL;NULL;blaNDM-11;AJE61443;KP265939;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;NDM-12;NULL;NULL;blaNDM-12;BAO79439;AB926431;25092693 (DOI);view;2;NULL;3a;carbapenemase;A
B1;NDM-13;NULL;NULL;blaNDM-13;BAQ02518;LC012596;26169399 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;NDM-14;NULL;NULL;blaNDM-14;AJP18054;KM210086;25645836 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;NDM-15;NULL;NULL;blaNDM-15;AKF43458;KP735848;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;NDM-16a;NULL;NULL;blaNDM-16a;AKZ20823;KP862821;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;NDM-16b;NULL;NULL;blaNDM-16b;AMO51458;KU285430;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;NDM-17;NULL;NULL;blaNDM-17;AOT73359;KX812714;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;NDM-18;NULL;NULL;blaNDM-18;APZ75411;KY503030;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;NDM-19;NULL;NULL;blaNDM-19;ASC49561;MF370080;31285120 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;NDM-20;NULL;NULL;blaNDM-20;AQY45923;KY654092;29515538 (DOI);view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-21;NULL;NULL;blaNDM-21;ATJ25942;MG183694;29912337 (DOI);view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-22;NULL;NULL;blaNDM-22;AWI33311;MH243357;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-23;NULL;NULL;blaNDM-23;AWU66462;MH450214;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-24;NULL;NULL;blaNDM-24;AWU66463;MH450215;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-25;NULL;NULL;blaNDM-25;AYF56302;MH986670;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-26;NULL;NULL;blaNDM-26;AYN72942;MK079575;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-27;NULL;NULL;blaNDM-27;AYP70146;MK105832;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-28;NULL;NULL;blaNDM-28;QAT97614;MK425035;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-29;NULL;NULL;blaNDM-29;QFZ95817;MN624980;34659178 (DOI);view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-30;NULL;NULL;blaNDM-30;QPK66974;MW306748;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-31;NULL;NULL;blaNDM-31;QPK66975;MW306749;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-33;NULL;NULL;blaNDM-33;MCA0463598;JAGTHW010000086;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-34;NULL;NULL;blaNDM-34;QVU28093;MZ254705;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-35;NULL;NULL;blaNDM-35;QVU28098;MZ265788;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-36;NULL;NULL;blaNDM-36;MBT0741168;JAHAWN010000063;36810726 (DOI);view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-37;NULL;NULL;blaNDM-37;MBT0809506;JAHAWM010000071;36810726 (DOI);view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-38;NULL;NULL;blaNDM-38;QWO25674;MZ359766;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-39;NULL;NULL;blaNDM-39;QYZ89892;MZ748325;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-40;NULL;NULL;blaNDM-40;QYZ89893;MZ748326;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-41;NULL;NULL;blaNDM-41;UAX43328;MZ913436;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-42;NULL;NULL;blaNDM-42;UOU25745;ON205946;36247096 (DOI);view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-43;NULL;NULL;blaNDM-43;UTQ48691;ON954084;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-44;NULL;NULL;blaNDM-44;UVJ50740;OP288001;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-45;NULL;NULL;blaNDM-45;UZC76856;OP696898;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-46;NULL;NULL;blaNDM-46;UZC76857;OP696899;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-47;NULL;NULL;blaNDM-47;UZC76858;OP696900;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-48;NULL;NULL;blaNDM-48;UZC76860;OP696902;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-49;NULL;NULL;blaNDM-49;WAS27907;OP966824;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-50;NULL;NULL;blaNDM-50;WP_274293087;NG_149664;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-51;NULL;NULL;blaNDM-51;WEG43790;OQ442836;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-52;NULL;NULL;blaNDM-52;WEM34775;OQ564973;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-53;NULL;NULL;blaNDM-53;WEG44271;OQ595422;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-54;NULL;NULL;blaNDM-54;WEG44272;OQ595423;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;NDM-55;NULL;NULL;blaNDM-55;WEY36504;OQ708894;NULL;view;NULL;NULL;NULL;carbapenemase;A
B1;SIM-1;NULL;NULL;blaSIM-1;AER61546;JF731030;16251286 (DOI);view;NULL;NULL;NULL;carbapenemase;A
B1;SIM-2;NULL;NULL;blaSIM-2;ALA09092;KT013203;26706613 (DOI);view;NULL;NULL;NULL;carbapenemase;A
B1;SPM-1;NULL;NULL;blaSPM-1;AAR15341;AY341249;15047554 (DOI) 12407123 (DOI);view;5;NULL;3a;carbapenemase;A
B1;SPN79-1;NULL;NULL;blaSPN79-1;APR64486;KU167036;28082950 (DOI);view;NULL;NULL;NULL;carbapenemase;N (uncultured bacterium)
B1;TMB-1;NULL;NULL;blaTMB-1;CBY88906;FR771847;22290947 (DOI) 30252055 (DOI);view;1;NULL;NULL;carbapenemase;A
B1;TMB-2;NULL;NULL;blaTMB-2;BAM73613;AB758278;23390208 (DOI);view;NULL;NULL;NULL;carbapenemase;N (Acinetobacter courvalinii)
B1;VIM-1;NULL;VIM-1-like;blaVIM-1;CAC35170;AJ278514;10390207 (—);view;72;NULL;3a;carbapenemase;A
B1;VIM-2;NULL;VIM-2-like;blaVIM-2;AAO43978;AY204637;10722487 (DOI);view;92;NULL;3a;carbapenemase;A
B1;VIM-3;NULL;VIM-2-like;blaVIM-3;AAG27703;AF300454;11451678 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;VIM-4;NULL;VIM-1-like;blaVIM-4;ACD43502;EU581706;12435718 (DOI);view;2;NULL;3a;carbapenemase;A
B1;VIM-5;NULL;VIM-1-like;blaVIM-5;AAX89037;AY910754;15190017 (DOI);view;4;NULL;3a;carbapenemase;A
B1;VIM-6;NULL;VIM-2-like;blaVIM-6;ABS29633;EF645347;15155248 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;VIM-7;NULL;VIM-7-like;blaVIM-7;CAD61201;AJ536835;14693560 (DOI) 18591274 (DOI);view;7;3;3a;carbapenemase;A
B1;VIM-8;NULL;VIM-2-like;blaVIM-8;AAS13759;AY524987;15528701 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;VIM-9;NULL;VIM-2-like;blaVIM-9;AAS13760;AY524988;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;VIM-10;NULL;VIM-2-like;blaVIM-10;AAS13761;AY524989;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;VIM-11;NULL;VIM-2-like;blaVIM-11;ABI20792;DQ835309;15616342 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;VIM-12;NULL;VIM-1-like;blaVIM-12;AAZ73123;DQ143913;16304191 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;VIM-13;NULL;VIM-1-like;blaVIM-13;ABC94518;DQ365886;18644957 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;VIM-14;NULL;VIM-1-like;blaVIM-14;AAT48653;AY635904;21521413 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;VIM-15;NULL;VIM-2-like;blaVIM-15;ACB54702;EU419745;18519714 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;VIM-16;NULL;VIM-2-like;blaVIM-16;ACB54703;EU419746;18519714 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;VIM-17;NULL;VIM-2-like;blaVIM-17;ABW90721;EU118148;19164147 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;VIM-18;NULL;VIM-2-like;blaVIM-18;CAO83029;AM778091;19164147 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;VIM-19;NULL;VIM-1-like;blaVIM-19;ACR15114;FJ499397;19917750 (DOI) 19901092 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;VIM-20;NULL;VIM-2-like;blaVIM-20;ACV13198;GQ414736;NULL;view;2;NULL;3a;carbapenemase;A
B1;VIM-23;NULL;VIM-2-like;blaVIM-23;BAV32121;LC169586;20961909 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;VIM-24;NULL;VIM-2-like;blaVIM-24;ADL27533;HM855205;21282438 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;VIM-25;NULL;VIM-1-like;blaVIM-25;BAU21041;LC107421;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;VIM-26;NULL;VIM-1-like;blaVIM-26;AJT60374;KM975295;21595797 (DOI);view;4;NULL;3a;carbapenemase;A
B1;VIM-27;NULL;VIM-1-like;blaVIM-27;ADX78234;HQ858608;21518835 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;VIM-28;NULL;VIM-1-like;blaVIM-28;AEI25539;JF900599;NULL;view;1;NULL;3a;carbapenemase;A
B1;VIM-29;NULL;VIM-1-like;blaVIM-29;AFP99885;JX311308;38197500 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;VIM-30;NULL;VIM-2-like;blaVIM-30;AET05999;JN129451;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;VIM-31;NULL;VIM-2-like;blaVIM-31;AFK24647;JN982330;22391550 (DOI);view;2;NULL;3a;carbapenemase;A
B1;VIM-32;NULL;VIM-1-like;blaVIM-32;AEZ49857;JN676230;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;VIM-33;NULL;VIM-1-like;blaVIM-33;AFP99175;JX258134;23070171 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;VIM-34;NULL;VIM-1-like;blaVIM-34;AFN88953;JX013656;23934739 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;VIM-35;NULL;VIM-1-like;blaVIM-35;AGC50805;JX982634;25267671 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;VIM-36;NULL;VIM-2-like;blaVIM-36;AGC50806;JX982635;24603963 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;VIM-37;NULL;VIM-1-like;blaVIM-37;AGC50807;JX982636;24603963 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;VIM-38;NULL;VIM-1-like;blaVIM-38;AGE83081;KC469971;24428980 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;VIM-39;NULL;VIM-1-like;blaVIM-39;AGS82586;KF131539;26369975 (DOI);view;NULL;NULL;3a;carbapenemase;A
B1;VIM-40;NULL;VIM-1-like;blaVIM-40;CDN33428;HG934765;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;VIM-41;NULL;VIM-2-like;blaVIM-41;AKQ98358;KP771862;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;VIM-42;NULL;VIM-1-like;blaVIM-42;AJP08641;KP071470;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;VIM-43;NULL;VIM-1-like;blaVIM-43;AJP67511;KP096412;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;VIM-44;NULL;VIM-2-like;blaVIM-44;AKO63212;KP681696;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;VIM-45;NULL;VIM-2-like;blaVIM-45;AKO63211;KP681695;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;VIM-46;NULL;VIM-2-like;blaVIM-46;AKQ98357;KP749829;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;VIM-47;NULL;VIM-1-like;blaVIM-47;ALK87206;KT954134;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;VIM-48;NULL;VIM-2-like;blaVIM-48;ALM96779;KT964061;NULL;view;NULL;NULL;3a;carbapenemase;A
B1;VIM-49;NULL;VIM-1-like;blaVIM-49;AMD11802;KU663374;NULL;view;NULL;NULL;3a;carbapenemase;A
